Name,Gender,Reason,Activity_based,Profit_based,Status_based,Family_member_sanctions,Dates,Doc_title,Doc_number,Doc_url,Case_Study,Nationality
Aliaksandr Valerievich BYKAU,male,"In his former position as Commander of the Special Rapid Response Unit (SOBR) of the Ministry of Internal Affairs, he was responsible for the repression and intimidation campaign led by SOBR forces in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators.; He remains active in the Lukashenka regime as First Deputy Commander of the Interior Troops.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aliaksandr Sviataslavavich SHEPELEU,male,"In his senior position as Head of the Department for Safety and Security in the Ministry of Internal Affairs (MoIA), he is involved in the repression and intimidation campaign led by MoIA forces in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators as well as intimidation and violence against journalists.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Dzmitry Uladzimiravich BALABA,male,"In his command position over OMON forces in Minsk, he is responsible for the repression and intimidation campaign led by OMON forces in Minsk in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators as well as intimidation and violence against journalists.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Ivan Uladzimiravich KUBRAKOU,male,"In his former position as Head of the Main Internal Affairs Directorate of the Minsk City Executive Committee, he is responsible for the repression and intimidation campaign led by police forces in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment of peaceful demonstrators as well as intimidation and violence against journalists.; He remains active in the Lukashenka regime as the Minister of Internal Affairs.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Maxim Aliaksandravich GAMOLA (HAMOLA),male,"In his former position as Head of the Police Department in Moskovski District, Minsk, he is responsible for the repression and intimidation campaign in that district against peaceful protesters in the wake of the 2020 presidential election, in particular arbitrary arrests, excessive use of force and ill-treatment, including torture.; He remains active in the Lukashenka regime as Deputy Head of the Minsk City Police Department and Head of Criminal Police.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aliaksandr Mikhailavich ALIASHKEVICH,male,"In his former position as First Deputy Head of the District Department of Internal Affairs in Moskovsky District, Minsk, and Head of Criminal Police, he was responsible for the repression and intimidation campaign in that district against peaceful protesters in the wake of the 2020 presidential election, in particular arbitrary arrests, excessive use of force and ill-treatment, including torture.; He remains active in the Lukashenka regime as Head of the District Department of Internal Affairs in Leninsky District, Minsk.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Andrei Vasilievich GALENKA,male,"In his former position as Deputy Head of the District Department of Internal Affairs in Moskovski District, Minsk and Head of Public Safety Police, he was responsible for the repression and intimidation campaign in that district against peaceful protesters in the wake of the 2020 presidential election, in particular arbitrary arrests, excessive use of force and ill-treatment, including torture.; He remains active in the Lukashenka regime and is serving as the First Deputy Head of the District Department of Internal Affairs in Moskovski District, Minsk, Head of Public Safety Police.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aliaksandr Paulavich VASILIEU,male,"In his former position as Head of the Department of Internal Affairs of Gomel/Homyel Region/Oblast Executive Committee, he was responsible for the repression and intimidation campaign in that region/oblast against peaceful protesters in the wake of the 2020 presidential election, in particular arbitrary arrests, excessive use of force and ill-treatment, including torture.; He remains active in the Lukashenka regime as Head of the Academy of the Ministry of Internal Affairs.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aleh Mikalaevich SHULIAKOUSKI,male,"In his former position as First Deputy Head of the Department of Internal Affairs of Gomel/Homyel Region/Oblast Executive Committee and Head of Criminal Police, he was responsible for the repression and intimidation campaign in that region/oblast against peaceful protesters in the wake of the 2020 presidential election, in particular arbitrary arrests, excessive use of force and ill-treatment, including torture.; He remains active in the Lukashenka regime as Head of the Department of Internal Affairs of the Brest Region/Oblast Executive Committee.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Anatol Anatolievich VASILIEU,male,"In his former position as Deputy Head of the Department of Internal Affairs of Gomel/Homyel Region/Oblast Executive Committee and Head of Public Safety Police, he was responsible for the repression and intimidation campaign in that region/oblast against peaceful protesters in the wake of the 2020 presidential election, in particular arbitrary arrests, excessive use of force and ill-treatment, including torture.; He remains active in the Lukashenka regime as First Deputy Head of the Department of Internal Affairs of Gomel/Homyel Region/Oblast Executive Committee, Head of Public Safety Police.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aliaksandr Viachaslavavich ASTREIKA,male,"In his former position as Head of the Department of Internal Affairs of Brest Region/Oblast Executive Committee and Major-General of Militia, he was responsible for the repression and intimidation campaign in that region/oblast against peaceful protesters in the wake of the 2020 presidential election, in particular arbitrary arrests, excessive use of force and ill-treatment, including torture.; He remains active in the Lukashenka regime as Head of the Department of Internal Affairs of the Minsk Region/Oblast Executive Committee.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Leanid ZHURAUSKI,male,"In his former command position over OMON forces in Vitebsk/Viciebsk, he was responsible for the repression and intimidation campaign led by OMON forces in Vitebsk/Viciebsk in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment of peaceful demonstrators.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Mikhail DAMARNACKI,male,"In his command position over OMON forces in Gomel/Homyel, he is responsible for the repression and intimidation campaign led by OMON forces in Gomel/Homyel in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment of peaceful demonstrators.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Maxim MIKHOVICH,male,"In his command position over OMON forces in Brest, he is responsible for the repression and intimidation campaign led by OMON forces in Brest in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment of peaceful demonstrators.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aleh Uladzimiravich MATKIN,male,"In his position as Head of the Penal Correction Department that has authority over the detention facilities of the Ministry of Internal Affairs, he is responsible for the inhumane and degrading treatment, including torture, inflicted on citizens detained in those detention facilities in the wake of the 2020 presidential election and for the general brutal crackdown on peaceful protesters.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Ivan Yurievich SAKALOUSKI,male,"In his capacity as Director of the Akrestina detention centre in Minsk, Ivan Sakalouski is responsible for the inhumane and degrading treatment, including torture, inflicted on citizens detained in that detention centre in the wake of the 2020 presidential election.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Valeri Paulavich VAKULCHYK,male,"In his former leadership position as Chairman of the State Security Committee (KGB), he was responsible for the participation of the KGB in the repression and intimidation campaign in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators and opposition members.; He remains active in the Lukashenka regime as Aide to the President of Belarus – Inspector for the Brest Region/Oblast.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Siarhei Yaugenavich TSERABAU,male,"In his leadership position as First Deputy Chairman of the State Security Committee (KGB), he is responsible for the participation of the KGB in the repression and intimidation campaign in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators and opposition members.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Dzmitry Vasilievich RAVUTSKI,male,"In his leadership position as Deputy Chairman of the State Security Committee (KGB), he is responsible for the participation of the KGB in the repression and intimidation campaign in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators and opposition members.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Alieg Anatolevich CHARNYSHOU,male,"In his former leadership position as Deputy Chairman of the State Security Committee (KGB), he was responsible for the participation of the KGB in the repression and intimidation campaign in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators and opposition members.; He remains active in the Lukashenka regime as Deputy Chairman of the Presidium of the National Academy of Sciences.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aliaksandr Uladzimiravich KANYUK,male,"In his former position as Prosecutor General, he was responsible for the widespread use of criminal proceedings to disqualify opposition candidates ahead of the 2020 presidential election and to prevent persons from joining the Coordination Council launched by the opposition to challenge the outcome of that election.; He remains active in the Lukashenka regime as the ambassador of Belarus to Armenia.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Lidzia Mihailauna YARMOSHINA,female,"In her former position as Chairwoman of the Central Electoral Commission (CEC), she was responsible for its misconduct of the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency, and its falsification of election results.; The CEC and its leadership have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.",1,0,0,0,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Vadzim Dzmitryevich IPATAU,male,"As Deputy Chairman of the CEC, he is responsible for its misconduct of the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its leadership have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Alena Mikalaeuna DMUHAILA,female,"In her former position as Secretary of the CEC, she was responsible for its misconduct of the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its leadership have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.",1,0,0,0,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Andrei Anatolievich GURZHY,male,"As a member of the CEC college, he is responsible for its misconduct of the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its college have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Volga Leanidauna DARASHENKA,female,"As a member of the CEC college, she is responsible for its misconduct of the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its college have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.",1,0,0,0,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Siarhei Aliakseevich KALINOUSKI,male,"As a member of the CEC college, he is responsible for its misconduct of the 2020 presidential electoral, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its college have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Sviatlana Piatrouna KATSUBA,female,"In her former position as a member of the CEC college, she was responsible for its misconduct in the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its college have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.; She remains active in the Lukashenka regime as the Chair of Social Humanities and Legal Disciplines at Gomel/Homyel State Technical University.",1,0,0,0,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aliaksandr Mikhailavich LASYAKIN,male,"As a member of the CEC college, he is responsible for its misconduct of the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its college have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Igar Anatolievich PLYSHEUSKI,male,"In his former position as a member of the CEC college, he was responsible for its misconduct in the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its college have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.; He remains active in the Lukashenka regime as the Managing Director of OOO Bergia Group.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Marina Yureuna RAKHMANAVA,female,"In her former position as a member of the CEC college, she was responsible for its misconduct of the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its college have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.",1,0,0,0,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aleh Leanidavich SLIZHEUSKI,male,"In his former position as a member of the CEC college, he was responsible for its misconduct in the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its college have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.; He remains active in the Lukashenka regime as head of the Legal Support Department of the Permanent Committee of the Union State of Belarus and Russia.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Irina Aliaksandrauna TSELIKAVETS,female,"In her former position as a member of the CEC college, she was responsible for its misconduct in the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its college have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.",1,0,0,0,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aliaksandr Ryhoravich LUKASHENKA,male,"As President of Belarus with authority over State bodies, he is responsible for the violent repression by the State apparatus carried out before and after the 2020 presidential election, in particular the dismissal of key opposition candidates, arbitrary arrests and ill-treatment of peaceful demonstrators as well as intimidation and violence against journalists.",,,,,06-11-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Viktar Aliaksandravich LUKASHENKA,male,"In his former position as National Security Advisor to the President and a Member of the Security Council, as well as his informal supervisory position over Belarus security forces, he has been responsible for the repression and intimidation campaign led by the State apparatus in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators as well as intimidation and violence against journalists.; He remains active in the Lukashenka regime as the President of the National Olympic Committee. In this position, to which he was appointed on 26 February 2021, he bears responsibility for the mistreatment by the NOC officials of athlete Krystsina Tsimanouskaya during the 2020 Summer Olympics in Tokyo.",,,,,06-11-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Ihar Piatrovich SERGYAENKA,male,"In his position as the Chief of Staff of the Presidential Administration, he is closely associated with the President and responsible for ensuring the implementation of presidential powers in the field of domestic and foreign policy. He is therefore supporting the Lukashenka regime, including in the repression and intimidation campaign led by the State apparatus in the wake of the 2020 presidential election.",,,,,06-11-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Ivan Stanislavavich TERTEL,male,"In his leadership position as the Chairman of the State Security Committee (KGB) and in his former position as the Chairman of the State Control Committee, he is responsible for the repression and intimidation campaign led by the State apparatus in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators as well as intimidation and violence against journalists.",,,,,06-11-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Raman Ivanavich MELNIK,male,"In his former leadership position as the Head of the Main Directorate of Law and Order Protection and Prevention at the Ministry of Internal Affairs, he was responsible for the repression and intimidation campaign led by the State apparatus in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators as well as intimidation and violence against journalists.; He remains active in the Lukashenka regime as Head of the Administration of the Leninsky District of Minsk.",,,,,06-11-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Ivan Danilavich NASKEVICH,male,"In his former leadership position as the Chairman of the Investigative Committee, he was responsible for the repression and intimidation campaign led by that Committee in the wake of the 2020 presidential election, in particular investigations launched against the Coordination Council and peaceful demonstrators.; He remains active in the Lukashenka regime as a member of the reserve of the Investigative Committee.",,,,,06-11-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aliaksey Aliaksandravich VOLKAU,male,"In his former leadership position as the First Deputy Chairman of the Investigative Committee, he is responsible for the repression and intimidation campaign led by the Committee in the wake of the 2020 presidential election, in particular investigations launched against the Coordination Council and peaceful demonstrators.",,,,,06-11-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Siarhei Yakaulevich AZEMSHA,male,"In his leadership position as the Deputy Chairman of the Investigative Committee, he is responsible for the repression and intimidation campaign led by the Committee in the wake of the 2020 presidential election, in particular investigations launched against the Coordination Council and peaceful demonstrators.",,,,,06-11-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Andrei Fiodaravich SMAL,male,"In his former leadership position as the Deputy Chairman of the Investigative Committee, he was responsible for the repression and intimidation campaign led by the Committee in the wake of the 2020 presidential election, in particular investigations launched against the Coordination Council and peaceful demonstrators.",,,,,06-11-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
