Name_id,Name,Gender,Statement_of_reason,Activity-based,Profit_based,Status_based,Family-member_sanctions,Date_designated,Doc_num,Doc_title,Doc_url,Nationality,Regime_name,Designation_source,
11,Olesya Yurievna VOROBYOVA,female,"As prosecutor in the politically motivated case against the prominent human rights defender Oleg Orlov, Olesya Yurievna Vorobyova asked to sentence Oleg Orlov to 2 years and 11 months in prison, arguing that Orlov’s article against Russia’s war of aggression against Ukraine was motivated by ‘ideological hostility and hatred’. Oleg Orlov, aged 70, is one of the most respected and longest-serving human rights defenders in Russia, one of the leaders of the 2022 Nobel Peace Prize-winning organisation Memorial Human Rights Defence Center (HRDC ‘Memorial’), which was liquidated as part of the systematic, wide-scale crackdown on the freedoms of expression, peaceful assembly, and association in Russia. Oleg Orlov was charged with and sentenced for allegedly ‘discrediting’ the Russian army after publishing an opinion piece in French media against Russia’s war of aggression against Ukraine.; Therefore, Olesya Yurievna Vorobyova is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",1,0,0,0,27-05-2024,02024R1485_20240913,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,unknown,Russia,EU,
12,Tatyana Stanislavovna DODONOVA,female,"Tatyana Stanislavovna Dodonova is a judge at the Moscow City Court.; In 2014, she recognised the decision to place Alexei Navalny under house arrest as legal in the ‘Yves Rocher’ case. She has systematically been involved in cases against citizens of the Russian Federation who have opposed the political regime in Russia by sentencing arrested persons in connection with the 2019 Moscow Protests.; Therefore, Tatyana Stanislavovna Dodonova is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",1,0,0,0,27-05-2024,02024R1485_20240913,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,Russian,Russia,EU,
13,Asma  AL‐ASSAD,female,"Member of the Assad family and closely connected to key regime figures; wife of President Bashar al‐Assad. Given the close personal relationship and intrinsic financial relationship to President Bashar al‐Assad, she benefits from and is associated with the Syrian regime.",0,1,1,1,23-03-2012,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
14,Bouthaina  SHAABAN,female,Political and Media Advisor to the President since July 2008 and as such associated with the violent crackdown on the civilian population.,1,0,0,0,26-06-2012,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
15,Bushra  AL‐ASSAD,female,"Member of the Assad family; sister of President Bashar al‐Assad. Given the close personal relationship and intrinsic financial relationship to President Bashar al‐Assad, she benefits from and is associated with the Syrian regime.",0,1,1,1,23-03-2012,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
16,Diala BARAKAT,female,"Minister of State. Appointed in August 2021.; As a Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",1,0,0,0,15-11-2021,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
17,"Dr. Lubana  (a.k.a. Lubanah) MUSHAWEH  (a.k.a. Mshaweh, Mshawweh, Mushawweh)",female,"Former Minister of Culture in power after May 2011. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",1,0,0,0,16-10-2012,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
18,"Dr. Nazeera  (a.k.a. Nazira, Nadheera, Nadhira) Farah  SARKEES  (a.k.a. Sarkis)",female,"Former State Minister for Environmental Affairs, in power after May 2011. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",1,0,0,0,16-10-2012,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
19,Ghada Adib MHANNA,female,Widow of Mohammed Makhlouf. Member of the Makhlouf family.,0,0,1,1,21-02-2022,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
20,Hala Mohammad,female,"Former Minister of Tourism. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",1,0,0,0,16-10-2012,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
21,Hala SIRHAN,female,"Dr. Hala Sirhan works with Syrian Military Intelligence at the Syrian Scientific Studies and Research Centre. She operated in Institute 3000, which is involved in chemical weapons proliferation.; She is associated with the Syrian Scientific Studies and Research Centre, a listed entity.",1,0,1,0,18-07-2017,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
22,Hala Tarif ALMAGHOUT,female,Widow of Mohammed Makhlouf. Member of the Makhlouf family.,0,0,1,1,21-02-2022,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
23,Kinda AL‐SHAMMAT (a.k.a. Shmat),female,"Former Social Affairs Minister in power after May 2011. As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",1,0,0,0,24-06-2014,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
24,Kinda Mohammed MAKHLOUF,female,Daughter of Mohammed Makhlouf. Member of the Makhlouf family.,0,0,1,1,21-02-2022,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
25,Loubana MOUCHAWEH,female,"Culture Minister. Appointed in August 2020.; As a Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",1,0,0,0,16-10-2020,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
26,Manal  AL‐ASSAD,female,"Wife of Maher al‐Assad, and as such benefits from and is closely associated with the Syrian regime.",0,1,1,1,23-03-2012,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
27,Razan  OTHMAN,female,"Razan Othman has close personal and financial relations with Rami Makhlouf, cousin of President Bashar al‐Assad and principal financer of the regime, who has been designated by the Council. As such, associated with the Syrian regime, and benefiting from it, notably through investments in the real estate sector.",0,1,1,0,16-10-2012,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
28,Rima AL‐QADIRI (a.k.a. al‐Kadiri),female,"Minister for Social Affairs (since August 2015).; As a Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",1,0,0,0,14-11-2016,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
29,Salam Mohammad AL-SAFFAF,female,Administrative Development Minister. Appointed in March 2017.,0,0,1,0,30-05-2017,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
30,Salwa ABDULLAH,female,"Former Minister of social affairs and labour.; Former State Minister.; As a former Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",1,0,0,0,14-11-2016,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
31,Sara Mohammed MAKHLOUF,female,Daughter of Mohammed Makhlouf. Member of the Makhlouf family.,0,0,1,1,21-02-2022,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
32,Wafiqa HOSNI,female,"State Minister.; Appointed in July 2016.; As a Government Minister, shares responsibility for the Syrian regime’s violent repression of the civilian population.",1,0,0,0,14-11-2016,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Syria,EU,
33,ELAHIAN Zohreh,female,"Zohreh Elahian is a lawmaker and hardliner, as well as a member of the National Security and Foreign Policy Commission of the Iranian parliament.; She is one of the 227 members of parliament who signed a statement on 6 November 2022 praising security forces for killing protestors and urging the judiciary to accelerate trials and sentence protestors to death by declaring them as ‘Muharebeh’, or ‘enmity against God’. As a member of the Iranian parliament, Elahian supported the killing, detention, and torture of people during the 2022 nationwide protests in Iran.; She is therefore responsible for serious human rights violations in Iran.",1,0,0,0,20-02-2023,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Iranian,Iran,EU,
34,GHORBAN-HOSSEINI Fatemeh,female,"Fatemeh Ghorban-Hosseini is a member of the Morality Police (EU-listed), an Islamic religious police that is part of Iran’s Law Enforcement Forces (LEF). She is one of the officers in the squad that arrested Mahsa Amini.; On 13 September 2022, Ghorban-Hosseini and three other members of a squad arbitrarily arrested 22-year old Mahsa Amini in Tehran, allegedly for wearing a hijab improperly. She was subsequently taken to the Morality Police’s headquarters for an ‘educational and orientation class’. According to reliable reports and witnesses, she was brutally beaten and mistreated in custody, which led to her hospitalisation and death on 16 September 2022. The Morality Police’s abusive behaviour is not confined to this incident and has been widely documented.; As one of the officers who arrested Amini, Fatemeh Ghorban-Hosseini is responsible for Amini’s death and is therefore responsible for serious human rights violations in Iran.",1,0,0,0,14-11-2022,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Iranian,Iran,EU,
35,SAFARI Parastou,female,"Parastou Safari is a member of the Morality Police (EU-listed), an Islamic religious police that is part of Iran’s Law Enforcement Forces (LEF). She is one of the officers in the squad that arrested Mahsa Amini.; On 13 September 2022, Safari and three other members of a squad arbitrarily arrested 22-year old Mahsa Amini in Tehran, allegedly for wearing a hijab improperly. She was subsequently taken to the Morality Police’s headquarters for an ‘educational and orientation class’. According to reliable reports and witnesses, she was brutally beaten and mistreated in custody, which led to her hospitalisation and death on 16 September 2022. The Morality Police’s abusive behaviour is not confined to this incident and has been widely documented.; As one of the officers who arrested Amini, Parastou Safari is responsible for Amini’s death and is therefore responsible for serious human rights violations in Iran.",1,0,0,0,14-11-2022,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Iranian,Iran,EU,
36,TAGHANAKI Soghra Khodadadi,female,"Soghra Khodadadi Taghanaki is the director/warden in the Qarchak Women’s Prison.; The prison is known for inhumane detention conditions, including poor health and sanitary conditions, refusal of medical care, food shortages, excessive use of force against prisoners, torture, sexual assault and extrajudicial killings.; Qarchak prison is one of the main places where women arrested during the peaceful 2022/2023 protests following the death of 22-year-old Mahsa Amini in the custody of Iran’s Morality Police are being held.; Soghra Khodadadi Taghanaki is therefore responsible for serious human rights violations in Iran.",1,0,0,0,20-02-2023,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Iranian,Iran,EU,
37,"VASEGHI Leyla (a.k.a. VASEQI Layla, VASEGHI Leila, VASEGHI Layla)",female,"As the governor of Shahr-e Qods and Head of the City Security Council from September 2019 until November 2021, Leyla Vaseghi ordered the police and other armed forces to use lethal means during the November 2019 protests, causing the deaths of and injuries to unarmed protesters and other civilians. As the governor of Shahr-e Qods and Head of the City Security Council, Vaseghi bears responsibility for serious human rights violations in Iran. In the context of the 2022/2023 protests, she is still remembered by Iranians as having one of the leading roles in violent repression, with a parallel made between her public words and the current repression.",1,0,0,0,12-04-2021,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,unknown,Iran,EU,
38,ZABIHPOUR Ameneh Sadat,female,"Ameneh Sadat Zabihpour is the head of the foreign Persian-language media group at IRIB, which is notorious for being a regime mouthpiece.; IRIB severely restricts and denies the free flow of information to the Iranian people. Furthermore, IRIB is actively involved in organising and broadcasting forced ‘confessions’ of regime critics, obtained through intimidation and severe violence. These ‘confessions’ are often aired following public protests, or prior to an execution as a means of reducing public backlash.; Whereas several high-profile state broadcasting personnel have resigned recently and disavowed the Iranian regime’s violent response to the 2022 protests, Zabihpour continues to act in her position. She has interrogated critics of the regime and produced forced confession videos.; She is therefore responsible for serious human rights violations in Iran.",1,0,0,0,12-12-2022,02012R0036_20241125,COUNCIL_REGULATION_EU_36_2012_18_January_2012,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Iranian,Iran,EU,
39,Alena Aliaksandravna ZHYVITSA,female,"In her position as judge of the Oktyabrsky district court in Minsk, she is responsible for numerous politically motivated rulings against journalists, opposition leaders, activists and protesters. Violations of rights of defence were reported during trials conducted under her supervision.; She is therefore responsible for human rights violations and undermining the rule of law, as well as for contributing to the repression of civil society and democratic opposition.",1,0,0,0,17-12-2020,02006R0765-20250226,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,http://data.europa.eu/eli/reg/2006/765/2025-02-26,unknown,Belarus,EU,
40,Alena Mikalaeuna DMUHAILA,female,"In her former position as Secretary of the CEC, she was responsible for its misconduct of the 2020 presidential electoral process, its non-compliance with basic international standards of fairness and transparency and its falsification of election results.; The CEC and its leadership have, in particular, organised the dismissal of certain opposition candidates on spurious grounds and placed disproportionate restrictions on observers in polling stations. The CEC has also ensured that the election commissions under its supervision are composed in a biased manner.",1,0,0,0,02-10-2020,02006R0765-20250226,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,http://data.europa.eu/eli/reg/2006/765/2025-02-26,unknown,Belarus,EU,
41,Alena Mikalayeuna ANANICH,female,"Alena Ananich is a Belarusian judge who has served in the Minsk City Court since 2015, having been appointed by Aliaksandr Lukashenka. She has issued numerous politically motivated rulings against the opponents of the Belarusian authorities, including with particularly high prison sentences: Yauhen Yushkevich – 11 years; Vital Brahiniets (lawyer of Nobel Peace Prize laureate Alies Bialatski) – 8 years; Viachaslau Kandyba – 7 years; and Siarhiei Nikitsin – 6 years. She also sentenced in absentia an opposition activist abroad, Stanislau Lupanosau, formerly an officer of the Main Department for Combating Organised Crime and Corruption (GUBOPiK) of the Ministry of Internal Affairs, to 18 years in prison.; She is therefore responsible for serious violations of human rights or the repression of civil society and democratic opposition in Belarus.",1,0,0,0,05-08-2024,02006R0765-20250226,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarusian,Belarus,EU,
42,Alena Stanislavauna HARMASH,female,Alena Harmash is a Belarussian judge who serves in a Court of the Bobruisk District and Bobruisk. She has issued politically-motivated rulings against the opponents of the Belarusian authorities. She convicted six opposition supporters and activists on political grounds. She has a documented history of having issued politically-motivated rulings against the opponents of the Belarusian authorities since 2020.; She is therefore responsible for serious violations of human rights and the repression of civil society and democratic opposition in Belarus.,1,0,0,0,03-08-2023,02006R0765-20250226,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarusian,Belarus,EU,
43,Alena Tsimafeeuna NYAKRASAVA,female,"In her position as judge of the Zavodsky district court in Minsk, she is responsible for numerous politically motivated rulings against journalists, opposition leaders, activists and protesters. Violations of rights of defence were reported during trials conducted under her supervision.; She is therefore responsible for human rights violations and undermining the rule of law, as well as for contributing to the repression of civil society and democratic opposition.",1,0,0,0,17-12-2020,02006R0765-20250226,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,http://data.europa.eu/eli/reg/2006/765/2025-02-26,unknown,Belarus,EU,
44,Alena Vasileuna LITVINA,female,"In her position as judge of the Leninsky district court in Mogilev/Mahiliou, she is responsible for numerous politically motivated rulings against journalists, opposition leaders, activists and protesters, in particular the sentencing of Siarhei Tsikhanousky – opposition activist and husband of presidential candidate Svetlana Tsikhanouskaya. Violations of rights of defence were reported during trials conducted under her supervision.; She is therefore responsible for human rights violations and undermining the rule of law, as well as for contributing to the repression of civil society and democratic opposition.",1,0,0,0,17-12-2020,02006R0765-20250226,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,http://data.europa.eu/eli/reg/2006/765/2025-02-26,unknown,Belarus,EU,
45,Alesya Uladzimiravna OSIPAVA,female,"Alesya Osipava is a Belarusian judge who has served in the Central District Court of the city of Gomel since 2019. She was appointed by Aliaksandr Lukashenka. She issued sentences against citizens of Belarus who voiced their opinions against the President, the system and brutality of Belarusian law enforcement structures.; She is therefore responsible for the repression of civil society.",1,0,0,0,16-12-2024,02006R0765-20250226,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarusian,Belarus,EU,
46,Alina Siarhieeuna KASIANCHYK,female,"In her former position as assistant prosecutor at the Fruzensky District Court in Minsk, Alina Kasianchyk has represented the Lukashenka regime in politically motivated cases against journalists, activists and protesters. In particular, she has prosecuted journalists Katsiaryna Bakhvalava (Andreyeva) and Darya Chultsova for recording peaceful protests, based on the groundless charges of ‘conspiracy’ and ‘violating public order’. She has also prosecuted members of Belarusian civil society e.g. for taking part in peaceful protests, and paying tribute to murdered protester Aliaksandr Taraikousky. She has continuously asked the judge for long-term prison sentences.; She is therefore responsible for serious human rights violations and for seriously undermining the rule of law, as well as for the repression of civil society and democratic opposition.; She remains active in the Lukashenka regime as a prosecutor at the Minsk City Prosecutor’s Office.",1,0,0,0,21-06-2021,02006R0765-20250226,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarusian,Belarus,EU,
47,Anastasia Dzmitreuna KULIK,female,"In her position as judge of the Pervomaisky District Court of Minsk, Anastasia Kulik is responsible for numerous politically motivated rulings against peaceful protesters, in particular the sentencing of Aliaksandr Zakharevich, who is considered as a political prisoner by Viasna, a Belarusian human rights organization.; She is therefore responsible for serious human rights violations and for seriously undermining the rule of law, as well as for the repression of civil society and democratic opposition.",1,0,0,0,21-06-2021,02006R0765-20250226,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarusian,Belarus,EU,
