Name,Gender,Reason,Dates,Doc_title,Doc_number,Doc_url,Nationality
Sergey Vladimirovich BLINOV,male,"Sergey Vladimirovich Blinov is a judge of the Leninsky District Court of Kirov.; In 2013, he sentenced Alexei Navalny to 5 years and businessman Pyotr Ofitserov to 4 years in prison on embezzlement charges in the politically motivated trial of the ‘Kirovles case’. Additionally, they were fined 500 000  rubles each.; Therefore, Sergey Vladimirovich Blinov is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Evgeny Vladimirovich BORISOV,male,"Evgeny Vladimirovich Borisov is a judge at the Nikulinsky District Court of Moscow.; In 2015, he accepted the claim of the Kirovles company to recover 16 million rubles from Alexei Navalny and two other defendants in the politically motivated ‘Kirovles case’.; Therefore, Evgeny Vladimirovich Borisov is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Tatyana Stanislavovna DODONOVA,female,"Tatyana Stanislavovna Dodonova is a judge at the Moscow City Court.; In 2014, she recognised the decision to place Alexei Navalny under house arrest as legal in the ‘Yves Rocher’ case. She has systematically been involved in cases against citizens of the Russian Federation who have opposed the political regime in Russia by sentencing arrested persons in connection with the 2019 Moscow Protests.; Therefore, Tatyana Stanislavovna Dodonova is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Elena Sergeevna ASTAKHOVA,female,"As judge of the Golovinsky District Court of Moscow, Elena Sergeevna Astakhova, sentenced Oleg Orlov, a prominent human rights defender and co-chairman of ‘Memorial’, to two years and six months in a general regime colony on politically motivated charges for speaking up against Russia’s war of aggression against Ukraine. Oleg Orlov, aged 70, is one of the most respected and longest-serving human rights defenders in Russia, one of the leaders of the 2022 Nobel Peace Prize-winning organisation Memorial Human Rights Defence Center (HRDC ‘Memorial’), which was liquidated as part of the systematic, wide-scale crackdown on the freedoms of expression, peaceful assembly, and association in Russia. Oleg Orlov was charged with and sentenced for allegedly ‘discrediting’ the Russian army after publishing an opinion piece in French media against Russia’s war of aggression against Ukraine.; Therefore, Elena Sergeevna Astakhova is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Olesya Yurievna VOROBYOVA,female,"As prosecutor in the politically motivated case against the prominent human rights defender Oleg Orlov, Olesya Yurievna Vorobyova asked to sentence Oleg Orlov to 2 years and 11 months in prison, arguing that Orlov’s article against Russia’s war of aggression against Ukraine was motivated by ‘ideological hostility and hatred’. Oleg Orlov, aged 70, is one of the most respected and longest-serving human rights defenders in Russia, one of the leaders of the 2022 Nobel Peace Prize-winning organisation Memorial Human Rights Defence Center (HRDC ‘Memorial’), which was liquidated as part of the systematic, wide-scale crackdown on the freedoms of expression, peaceful assembly, and association in Russia. Oleg Orlov was charged with and sentenced for allegedly ‘discrediting’ the Russian army after publishing an opinion piece in French media against Russia’s war of aggression against Ukraine.; Therefore, Olesya Yurievna Vorobyova is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Ilya Andreevich SAVCHENKO,male,"As investigator in the Investigative Committee of the Russian Federation, Ilya Andreevich Savchenko was assigned Oleg Orlov’s case and contributed to Orlov’s indictment for having published an opinion piece against Russia’s war of aggression against Ukraine. Ilya Andreevich Savchenko established that Orlov had published the article guided by ‘ideological hostility against traditional Russian spiritual, moral and patriotic values’ and of hatred towards the social group ‘Russian militaries’.; Therefore, investigator Ilya Andreevich Savchenko is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Oksana Vasilyevna DEMYASHEVA,female,"As judge of the Vasileostrovsky District Court of Saint Petersburg, Oksana Vasilyevna Demyasheva sentenced Alexandra Skochilenko, an artist, to seven years in prison on politically-motivated charges for spreading so-called ‘fake news’ about the Russian army. Skochilenko was arrested for replacing price tags at a supermarket with anti-war stickers. She became one of the first people charged under the newly passed criminal law outlawing so-called ‘fake news’ about the Russian army, her trial attracting wide public attention for the unprecedented pressure Skochilenko faced from the jail administration, the judge, and the prosecution.; Therefore, Oksana Vasilyevna Demyasheva is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Alexander Yurievich GLADYSHEV,male,"As prosecutor of the Prosector’s Office in Saint Petersburg, Alexander Yurievich Gladyshev asked for an eight-year prison sentence for Alexandra Skochilenko, an artist, on politically motivated charges of spreading ‘fake news’ about the army, after she was arrested for replacing price tags at a supermarket with anti-war stickers. Skochilenko became one of the first persons charged under the newly passed criminal law outlawing so-called ‘fake news’ about the Russian army, her trial attracting wide public attention for the unprecedented pressure Skochilenko faced from the jail administration, the judge, and the prosecution.; Therefore, Alexander Yurievich Gladyshev is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Artem Sergeevich KUREEV,male,"Artem Sergeevich Kureev is a Russian Federal Security Service officer involved in malign activities, namely coordinated disinformation campaigns, both in Europe and Africa. He conducts influence campaigns in Europe, including by organising the dissemination of articles in Russian and their English translations on proxy websites and making payments for the publication of pro-Russian articles, with the aim of spreading Russian disinformation in Europe. He founded two media outlets in Africa and conducted deliberate disinformation campaigns aiming at undermining Western health projects in Africa by spreading conspiracy theories such as the alleged use of Africa for biological warfare experiments and illicit trials of various drugs by Western pharmaceutical companies.; Therefore, Artem Sergeevich Kureev is implementing actions or policies by the Government of the Russian Federation which undermine or threaten stability or security in the Union or in third countries by planning and directing the use of coordinated information manipulation and interference.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Nikolai Aleksandrovich TUPIKIN,male,"Nikolai Aleksandrovich Tupikin is the head and founder of Structura National Technologies (GK Struktura). The company has been involved in the so-called ‘Doppelganger’ campaign, a Russian-led digital disinformation campaign aimed at manipulating information and spreading disinformation in support of the Russian war of aggression against Ukraine and targeting the Union’s Member States, the United States and Ukraine. He works in close coordination with the Presidential Administration of the Russian Federation. He has also been one of the key figures in Russia’s disinformation campaign across Latin America aiming at undermining support for Ukraine.; Therefore, Nikolai Aleksandrovich Tupikin is implementing actions or policies by the Government of the Russian Federation which undermine or threaten stability or security in the Union or in third countries by planning and directing the use of coordinated information manipulation and interference. He is also associated with Sofia Avraamovna Zakharova, department head in the Office of the President of the Russian Federation for the Development of Information and Communication Technologies and Communications Infrastructure.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Sofia Avraamovna ZAKHAROVA,female,"Sofia Avraamovna Zakharova is the department head in the Office of the President of the Russian Federation for the Development of Information and Communication Technologies and Communications Infrastructure. She has been involved in the so-called ‘Doppelganger’ campaign aimed at manipulating information and spreading disinformation in support of the Russian war of aggression against Ukraine and targeting the Union’s Member States, the United States and Ukraine. She has been working directly with Ilya Gambashidze and Nikolai Tupikin, heads of Social Design Agency and GK Struktura, respectively, on this operation. She has also been one of the team leaders and active members of the so-called ‘Team I’ lead by Ilya Gambashidze, which stands behind the Kremlin’s campaign for disinformation in the West, interfering in the elections of different countries, and is preparing projects to discredit the Russian opposition.; Therefore, Sofia Avraamovna Zakharova is implementing actions or policies by the Government of the Russian Federation which undermine or threaten stability or security in the Union or in third countries by planning and directing the use of coordinated information manipulation and interference.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Andrey Vladimirovich AVERYANOV,male,"Andrey Vladimirovich Averyanov is a high-ranking military official of the Main Directorate of the General Staff of the Armed Forces of the Russian Federation (GRU). After the death of Yevgeny Prigozhin and the restructuring of the Wagner Group, the command of Russian military operations in Africa was restructured and placed under the Africa Corps under the umbrella of the Russian Ministry of Defence, and Averyanov was placed in charge of the operations. In many African countries, Russian forces provide security to military juntas that have overthrown legitimate democratic governments, gravely worsening the stability, security and democracy of the countries.; In addition, Russian forces in Africa exploit the natural resources there to finance their operations. In the beginning of 2024, Russian forces took control of the Intahaka gold mine in Mali.; Therefore, Andrey Vladimirovich Averyanov is implementing actions or policies by the Government of the Russian Federation which undermine or threaten democracy, the rule of law, stability or security in third countries by undermining the democratic political process in the African countries where Russian forces operate and by exploiting an armed conflict, instability or insecurity, including through the illicit exploitation or trade of natural resources and wildlife in a third country.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Tinatin Givievna KANDELAKI,female,"Tinatin Givievna Kandelaki is a Russian journalist employed by the state-owned company Gazprom Media, and a public figure who has been using her popularity and influence in the public sphere to voice Russian propaganda and to justify the ongoing Russian war of aggression against Ukraine. She was among those who performed during the Luzhniki stadium concert of 18 March 2022 that marked the 8th anniversary of the illegal annexation of Crimea and served as a symbol of support for the ongoing war in Ukraine. After 2014, she fully supported the illegal annexation of Crimea. Moreover, she is a Deputy General Director of Gazprom Media Holding, a holding of several media outlets that spread anti-Ukrainian propaganda and justify Russian aggression against Ukraine.; Several TV channels owned and governed by Gazprom Media Holding have replaced Ukrainian TV outlets on local TV frequencies previously seized forcefully by Russians after the Russian invasion of Crimea and have thus actively participated in the process of the illegal annexation of Crimea.; Therefore, Tinatin Givievna Kandelaki is responsible for, implementing, supporting or benefiting from actions or policies by the Government of the Russian Federation which undermine or threaten democracy, the rule of law, stability or security in the Union or in one or several of its Member States, in an international organisation, or in a third country, or which undermine or threaten the sovereignty or independence of one or several of its Member States, or of a third country, by planning, directing, engaging in, directly or indirectly, supporting or otherwise facilitating the use of coordinated information manipulation and interference.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Vladimir Vladimirovich SERGIYENKO,male,"Vladimir Vladimirovich Sergiyenko is a former parliamentary assistant of the Member of the German Bundestag, Eugen Schmidt. In parallel, Sergiyenko actively colluded with Russian intelligence officers seeking to leverage his privileged parliamentary and political access to the detriment of the democratic political process and constitutional order of the Federal Republic of Germany.; Therefore, Vladimir Vladimirovich Sergiyenko implemented and supported actions or policies by the Government of the Russian Federation which undermine or threaten democracy, the rule of law and security in the Federal Republic of Germany by engaging in, directly or indirectly, the obstruction or undermining of the democratic political process.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Denis Alexandrovich SMOLYANINOV,male,"Denis Alexandrovich Smolyaninov is a GRU colonel who specialises in psychological operations. He is in charge of the Ukrainian direction of the GRU. Lists of mercenaries to be sent to the Donbass passed through the Ukrainian direction. He also supervised two private military companies (PMCs) associated with the Ministry of Defense: Longifolia, a military company of crime bosses from the 1990s, through which contacts were established with Western PMCs, and Convoy, the military security company. Shortly before the Russian invasion of Ukraine, he deployed an agent network in Ukraine. He uses Telegram channels to spread disinformation, including in Ukraine. Through social media he recruits agents for sabotage activities in the Union and other activities aimed at creating tensions between NATO countries.; The GRU is responsible for actively preparing explosions, arson and damage to infrastructure on Union territory, with the goal of slowing down the supply of weapons to Ukraine and of creating discord and the appearance of dissatisfaction with support for Ukraine in Europe.; Therefore, Denis Alexandrovich Smolyaninov is responsible for, implementing, supporting or benefiting from actions or policies by the Government of the Russian Federation which undermine or threaten stability or security in the Union or in third countries by planning and directing acts of violence, and by facilitating the use of coordinated information manipulation and interference.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Vladimir/ Volodymyr LIPCHENKO,male,"Vladimir Lipchenko is a GRU officer responsible for hybrid attacks in Europe under his pseudonym ‘Wlodek Lyakh’. He is part of a special department led by GRU Colonel Denis Alexandrovich Smolyaninov, set up to conduct sabotage activities in Western countries. He recruited a person to set fire to the Museum of the Occupation in Riga by throwing Molotov cocktails.; Therefore, Vladimir Lipchenko is responsible for or implementing actions by the Government of the Russian Federation which undermine or threaten stability or security in the Union by planning and directing acts of violence.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Yuriy SIZOV,male,"Yuriy Sizov is a GRU military officer. He serves in military unit No 92154. He personally gave instructions to recruit agents to target a hypermarket in Kyiv and recorded a video tutorial on installing an explosive device in one of the stores of the same chain in the Moscow region. He was also responsible for orchestrating sabotage in Ukraine in the Lviv region in February 2024. He supervised and gave orders to the Russian intelligence agents involved in the planned sabotage activity.; Therefore, Yuriy Sizov is responsible for, implementing, supporting or benefiting from actions or policies by the Government of the Russian Federation which undermine or threaten stability or security in the Union by planning and directing acts of violence.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Visa Nokhayevich MIZAEV,male,"Visa Nokhayevich Mizaev is a Russian entrepreneur. He played a key role in a Russian intelligence operation against the German Federal Intelligence Service (BND) in which he instigated his accomplices to procure highly classified information from the BND and to pass it to the Federal Security Service of the Russian Federation (FSB).; Therefore, Visa Nokhayevich Mizaev implements and supports actions by the Government of the Russian Federation which undermine or threaten the security in the Federal Republic of Germany by attempting to destabilise the constitutional order.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Olga Alekseevna BELYAVTSEVA,female,"Olga Alekseevna Belyavtseva is a Russian entrepreneur. She is the wife and business partner of Visa Nokhayevich Mizaev. She is associated with Visa Nokhayevich Mizaev through the co-ownership of the two Russia-based Limited Liability Companies ‘OOO Agronom-sad’ and ‘OOO Biplast’. She founded those companies and was the single shareholder before transferring 30 % of the shares for each company after their marriage in 2018. Moreover, Belyavtseva and Mizaev had a similar ownership arrangement over the company Agronom-Sad Trading before Mizaev sold his shares to Belyavtseva on 22 February 2023 in direct temporal connection with Visa Mizaev’s involvement in the Russian intelligence operation against the Federal Republic of Germany, providing Mizaev with additional liquidity and concealing his asset base.; Therefore, Olga Alekseevna Belyavtseva supports natural or legal persons, entities or bodies engaged in implementing actions or policies by the Government of the Russian Federation which undermine or threaten the security of the Federal Republic of Germany. She is also associated with Visa Nokhayevich Mizaev.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Timofey Vyacheslavovich BORDACHEV,male,"Timofey Vyacheslavovich Bordachev is a Russian political scientist and international affairs specialist. He is the Programme Director of the Valdai Discussion Club, Academic Supervisor of the Centre for Comprehensive European and International Studies at the National Research University – Higher School of Economics, as well as member of the Council for Foreign and Defence Policy.; Through his activities, he substantially contributes to the ideological base and rationalisation of the Russian war of aggression against Ukraine and aggressive policies of the Kremlin, including by promoting the view that neither Ukraine as a state nor its government are legitimate.; Therefore, Timofey Vyacheslavovich Bordachev is responsible for or supporting actions or policies by the Government of the Russian Federation which undermine or threaten the sovereignty or independence of Ukraine by engaging in and supporting the use of coordinated information manipulation and interference.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Harouna DOUAMBA,male,"Harouna Douamba is an Ivorian businessman, and the head of a pro-Russian, anti-Western disinformation network in the Central African Republic (CAR) and Burkina Faso.; In 2011, Douamba founded a non-governmental organisation calledAimons Notre Afrique(ANACOM) in the CAR. That organisation received funding from Lobaye Invest, which has been associated with the Wagner Group. In 2022, Harouna Douamba established theGroupe Panafricain pour le Commerce et l'Investissement(GPCI) in Burkina Faso. GPCI has been involved in covert influence operations.; Harouna Douamba’s disinformation networks were dismantled by Meta in May 2021, and later in May 2023. Despite this, GPCI-related disinformation groups are still active and running structured and coordinated disinformation campaigns, with the use of a vast network of information chains. Those campaigns target France in particular, including through accusations of conspiracy, terrorism, destabilisation operations or preparing coups against the Union or its Member States.; Therefore, Harouna Douamba is supporting and implementing actions or policies of the Government of the Russian Federation which undermine or threaten democracy, the rule of law, stability or security in a Member State or in a third country by planning, directing, engaging in, directly or indirectly, supporting or otherwise facilitating the use of coordinated information manipulation and interference.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Anatolii PRIZENKO,male,"Anatolii Prizenko is a Moldovan businessman working for the Oriflame Cosmetics S.A. company. In late October 2023, he coordinated the dispatch of several Moldovan citizens to France, where they painted stars of David on the streets in exchange for financial compensation. That operation was widely reported by the media and had a significant destabilising effect, in the context of the conflict between Israel and Hamas following the attacks on 7 October 2023. The images of that operation were first spread by the Recent Reliable News media network, which is associated with the Government of the Russian Federation and used by Russian actors to conduct disinformation campaigns.; Anatolii Prizenko publicly took responsibility for his role as the organiser of that operation. According to media reports, that destabilising operation was carried out for the benefit of the Russian military intelligence service, the GRU, and aimed at fuelling tensions in French society.; Therefore, Anatolii Prizenko is responsible for, implementing, supporting or benefiting from actions or policies of the Government of the Russian Federation which undermine or threaten the stability in a Member State and therefore, in the Union by planning, directing, or engaging in, directly or indirectly, the use of coordinated information manipulation and interference.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Alesia MILORADOVICH or Alesya MILORADOVICH or Olesya MILORADOVIC,female,"Alesya Miloradovich is a collaborator of the Government of the Russian Federation in France, and calls herself a ‘foreign affairs facilitator’.; Alesya Miloradovich organised a so-called ‘electoral observation’ mission in the Ukrainian territories illegally occupied by Russia, in the context of the referendum on the annexation of those regions to Russia, and recruited French nationals who participated in the mission. She publicly admitted that she did this for the benefit of the Russian Government.; She was also a co-organiser of trips for French children to the Artek International Children Center in illegally annexed Crimea, which were funded by the Government of the Russian Federation. She has also been involved in the Russian propaganda project ‘Foreign journalists for Russia’ and has participated in spreading pro-Russian views, including by claiming that French and Western societies support Russian actions against Ukraine.; Therefore, Alesya Miloradovich is responsible for, implementing, supporting or benefiting from actions or policies by the Government of the Russian Federation which undermine or threaten democracy, the rule of law, stability or security in a third country by planning, directing, engaging in, directly or indirectly, or otherwise facilitating the obstruction or undermining of the democratic political process of a third country, including by attempting to destabilise its constitutional order.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
Oleg Sergeevich EREMENKO,male,"Oleg Sergeevich Eremenko is a former GRU officer and an active member of various Russian influence groups. Notably, he is a member of ‘Officers of Russia’ an organisation used by the Russian military and security services to influence domestic politics by cultivating links to veterans amongst the Russian diaspora and to retired military and security personnel of former Soviet-allied armed forces, in which he serves as their main representative in Germany. In that capacity, Oleg Sergeevich Eremenko is associated with the EU designated entities Rossotrudnitschestvo, which is the operator of the ‘Russian House’ in Berlin, and the Wagner Group. In his role as an envoy of the Russian state security apparatus, Oleg Sergeevich Eremenko is cultivating links to and supporting anti-democratic organisations within Germany. He is well connected with far-left anti-democratic groups and groups of former personnel of outlawed GDR security services and veterans of GDR military formations, such as Desant e.V., a pro-Russian association of former paratroopers.; Therefore, Oleg Sergeevich Eremenko is supporting actions or policies by the Government of the Russian Federation which undermine or threaten democracy, the rule of law, stability or security in the Federal Republic of Germany by undermining the democratic political process, including by attempting to destabilise its constitutional order.",16-12-2024,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,02024R2642-20241216,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,russia
