Name,Gender,Reason,Dates
SAJEDI-NIA Hossein,male,"Police Operations Deputy Commander. Former head of Tehran Police, former Deputy Chief of Iran’s National Police responsible for Police Operations. He is in charge of coordinating, for the Ministry of Interior, repression operations in the Iranian capital.",12-04-2011
TAEB Hossein,male,"Since 2022, advisor to the Commander-in-Chief of the Islamic Revolutionary Guard Corps (IRGC), Hossein Salami. Former Head of the IRGC intelligence organisation (October 2009 to June 2022). His responsibilities were expanded in May 2019 with the merging of the Office of the Deputy of Strategic Intelligence of the IRGC and the IRGC’s Intelligence Organisation. Commander of the Basij until October 2009. Forces under his command participated in mass beatings, murders, detentions and tortures of peaceful protestors.",12-04-2011
SHARIATI Seyeed Hassan,male,"Advisor and Member of the 28th Section of the Supreme Court. Head of Mashhad Judiciary until September 2014. Trials under his supervision have been conducted summarily and inside closed sessions, without adherence to basic rights of the accused, and with reliance on confessions extracted under pressure and torture. As execution rulings were issued en masse, death sentences were issued without proper observance of fair hearing procedures.",12-04-2011
DORRI-NADJAFABADI Ghorban-Ali,male,"Member of the Assembly of Experts and representative of the Supreme Leader in Markazi (‘Central’) Province and Head of the Supreme Administrative Court. Prosecutor General of Iran until September 2009, as well as former Intelligence Minister under Khatami presidency. As Prosecutor General of Iran, he ordered and supervised the show trials following the first post-election protests, where the accused were denied their rights and access to an attorney.",12-04-2011
SOLTANI Hodjatoleslam Seyed Mohammad,male,"Since 2018, Hodjatoleslam Seyed Mohammad Soltani serves as deputy prosecutor in the Revolutionary Prosecution Office, Mashhad. Head of the Organisation for Islamic Propaganda in the province of Khorasan-Razavi. Former Judge, Mashhad Revolutionary Court (2013-2019). Trials under his jurisdiction have been conducted summarily and inside closed session, without adherence to basic rights of the accused. As execution rulings were issued en masse, death sentences were issued without proper observance of fair hearing procedures. He is responsible for issuing heavy prison sentences to citizens of the Baha’is minority, due to their religious beliefs, through unfair trials with lack of due process, and the use of extrajudicial procedures.",12-04-2011
HEYDARIFAR Ali-Akbar,male,"Former judge, Tehran Revolutionary Court. He participated in protesters trials. He was questioned by the judiciary about Kahrizak abuses. He was instrumental in issuing detention orders to consign detainees to Kahrizak Detention Centre in 2009. In November 2014, his role in the deaths of detainees was officially recognised by the Iranian authorities.",12-04-2011
JAFARI-DOLATABADI Abbas,male,"Former advisor to the Supreme Disciplinary Court of judges (29 April 2019-at least 2020). Former Prosecutor General of Tehran (August 2009-April 2019). Abbas Jafari-Dolatabadi’s office indicted a large number of protesters, including individuals who took part in the December 2009 Ashura Day protests. He ordered the closure of Karroubi’s office in September 2009 and the arrest of several reformist politicians, and he banned two reformist political parties in June 2010. His office charged protesters with ‘Muharebeh’, or ‘enmity against God’, which carries the death penalty, and denied due process to those facing the death penalty. His office also targeted and arrested reformists, human rights activists and members of the media, as part of a broad crackdown on the political opposition.; In October 2018, he announced to the media that four detained Iranian environmental activists were to be charged with ‘sowing corruption on earth’, a charge which carries the death penalty.",12-04-2011
MOGHISSEH Mohammad (a.k.a. NASSERIAN),male,"Judge at the Supreme Court since November 2020. Former head of Tehran Revolutionary Court, branch 28. Also considered responsible for condemnations of members of the Baha’i community. He has dealt with post-election cases. He issued long prison sentences during unfair trials of social and political activists and journalists, and several death sentences for protesters and social and political activists.",12-04-2011
MOHSENI-EJEI Gholam-Hossein,male,"Chief of Justice since July 2021. Member of the Expediency Council. Prosecutor General of Iran from September 2009 until 2014. Former Deputy Head of the Judiciary (2014 until July 2021) and spokesperson of the Judiciary (2010-2019). Intelligence Minister from 2005 until 2009. While he was Intelligence Minister during the 2009 elections, intelligence agents under his command were responsible for the detention and torture of, and the extraction of false confessions under pressure from, hundreds of activists, journalists, dissidents and reformist politicians. In addition, political figures were coerced into making false confessions under unbearable interrogation, which included torture, abuse, blackmail and the threatening of family members. During the 2022/2023 protests, Gholam-Hossein Mohseni-Ejei stated that there would be no leniency with protesters.",12-04-2011
MORTAZAVI Said (a.k.a. MORTAZAVI Saeed),male,"Head of the Welfare System from 2011 to 2013. Prosecutor General of Tehran until August 2009. As Prosecutor General of Tehran, he issued a blanket order used for the detention of hundreds of activists, journalists and students. In January 2010, a parliamentary investigation held him directly responsible for the detention of three prisoners who subsequently died in custody. He was suspended from office in August 2010 after an investigation by the Iranian judiciary into his role in the deaths of the three men detained on his orders following the election.; In November 2014, his role in the deaths of detainees was officially recognised by the Iranian authorities. He was acquitted by an Iranian Court on 19 August 2015, on charges connected to the torture and deaths of three young men at the Kahrizak detention centre in 2009. Sentenced to prison in 2017 and released in September 2019. In August 2021, Iran’s Supreme Court issued a ruling in full support of Said Mortazavi, overturning his earlier two-year jail sentence.",12-04-2011
PIR-ABASSI Abbas,male,"Magistrate of a Criminal chamber. Former Judge, Tehran Revolutionary Court, branch 26. He was in charge of post-election cases. He issued long prison sentences during unfair trials against human rights activists and issued several death sentences for protesters.",12-04-2011
MORTAZAVI Amir,male,"Deputy head of the Unit for Social Affairs and Crime Prevention at the judiciary in the province of Khorasan-Razavi. Deputy Prosecutor of Mashhad until at least 2015. Trials under his prosecution have been conducted summarily and inside closed session, without adherence to basic rights of the accused. As execution rulings were issued en masse, death sentences were issued without proper observance of fair hearing procedures.",12-04-2011
SALAVATI Abdolghassem,male,"Judge of the Special Court for Financial Crimes, branch 4 since 2019. Former Head of Tehran Revolutionary Court, branch 15. Committing Judge in the Tehran Tribunal. In charge of the post-election cases, he was the Judge presiding over the ‘show trials’ in summer 2009, he condemned to death two monarchists that appeared in the show trials. He has sentenced more than a hundred political prisoners, human rights activists and demonstrators to lengthy prison sentences.; In 2018, reports showed that he continued to hand down similar sentences without proper observance of fair hearing procedures.; During the 2022 protests, Abdolghassem Salavati sentenced many protestors to death including Mohammad Beroghani and Saman Seydi.",12-04-2011
SHARIFI Malek Adjar (aka: SHARIFI Malek Ajdar),male,"Judge at the Supreme Court, head of the 43rd section. Former Head of East Azerbaidjan Judiciary. He was responsible for Sakineh Mohammadi-Ashtiani’s trial.",12-04-2011
YASAGHI Ali-Akbar,male,"Judge at the Supreme Court, head of the 13th section. Deputy Chief Executive Officer of Setad-e Dieh Foundation. Chief Judge, Mashhad Revolutionary Court (2001-2011). Trials under his jurisdiction have been conducted summarily and in closed sessions, without adherence to basic rights of the accused. As execution rulings were issued en masse (up to 550 between summer 2009 and summer 2011), death sentences were issued without proper observance of fair hearing procedures.",12-04-2011
BOZORGNIA Mostafa,male,Head of ward 350 of Evin Prison. He unleashed on a number of occasions disproportionate violence upon prisoners.,12-04-2011
ESMAILI Gholam-Hossein (a.k.a. ESMAILI Gholam Hossein),male,"Chief of Staff of Iranian President Raisi since August 2021. Judiciary spokesman from April 2019 until July 2021. Former head of the Tehran Judiciary. Former Head of Iran’s Prisons Organisation. In this capacity, he was complicit in the massive detention of political protesters and covering up of abuses performed in the jailing system.",12-04-2011
SEDAQAT (a.k.a. Sedaghat) Farajollah,male,"Assistant Secretary of the General Prison Administration in Tehran. Head of Evin’s prison, Tehran until October 2010 during which time torture took place. He was warden, and threatened and exerted pressure on prisoners numerous times.",12-04-2011
ZANJIREI Mohammad-Ali,male,"As Senior advisor to Head, and Deputy Head of Iran’s Prisons Organisation, responsible for serious human rights violations against prisoners. Administered a system in which prisoners suffered abuse, torture and inhuman/degrading treatment and were accommodated in very poor living conditions.",12-04-2011
ABBASZADEH-MESHKINI Mahmoud,male,"Member of Parliament (since February 2020) and Speaker of the Parliament’s Committee for National Security and Foreign Affairs. Former Advisor to Iran’s High Council for Human Rights (until 2019). Former secretary of the High Council for Human Rights. Former Governor of Ilam Province. Former Political Director of the Interior Ministry. As Head of the Article 10 Committee of the Law on Activities of Political Parties and Groups, he was in charge of authorising demonstrations and other public events and registering political parties.; In 2010, he suspended the activities of two reformist political parties linked to Mousavi – the Islamic Iran Participation Front and the Islamic Revolution Mujahedeen Organisation. From 2009 onwards, he has consistently and continuously prohibited all non-governmental gatherings, therefore denying a constitutional right to protest and leading to many arrests of peaceful demonstrators in contravention of the right to freedom of assembly.; In 2009, he also denied the opposition a permit for a ceremony to mourn people killed in protests over the Presidential elections.",10-10-2011
AKBARSHAHI Ali-Reza,male,"Former Director-General of Iran’s Drug Control Headquarters (a.k.a. Anti-Narcotics Headquarters). Former Commander of Tehran Police. Under his leadership, the police force was responsible for the use of extrajudicial force on suspects during arrest and pre-trial detention. The Tehran police were also implicated in raids on Tehran university dorms in June 2009 when, according to an Iranian Majlis commission, more than 100 students were injured by the police and Basiji. Until 2018, head of the railway police.",10-10-2011
AKHARIAN Hassan,male,"Head of Ward 5 and in charge of solitary confinement in EU-listed Rajaee Shahr Prison since 2015; formerly Keeper of Ward 1 of Rajaee Shahr Prison, Karadj until July 2010. Several former detainees have denounced his use of torture, as well as orders he gave to prevent inmates receiving medical assistance. According to a transcript of one reported detainee in the Rajaee Shahr Prison, wardens all beat him severely, with Akharian’s full knowledge. There is also at least one reported case of ill treatment and the death of a detainee, Mohsen Beikvand, under Akharian’s wardenship. Beikvand died in September 2010. Other prisoners claim credibly that he was killed on the instructions of Hassan Akharian.",10-10-2011
"AVAEE Seyyed Ali-Reza (a.k.a. AVAEE Seyyed Alireza, AVAIE Alireza)",male,"Minister of Justice until 25 August 2021. Former Director of the special investigations office. Deputy Minister of the Interior and Head of the Public Register until July 2016. Advisor to the Disciplinary Court for Judges in April 2014. Former President of the Tehran Judiciary. As President of the Tehran Judiciary, he has been responsible for human rights violations, arbitrary arrests, denials of prisoners’ rights and a high number of executions.",10-10-2011
BANESHI Jaber,male,"Head of Branch 22 of the Appeals Court of Shiraz from November 2011. Prosecutor of Shiraz until October 2011. Prosecutor during the Shiraz bombing case in 2008, which was used by the regime to sentence to death other unconnected persons. He has pursued capital charges and other severe penalties against minorities, such as to constitute, inter alia, a violation of their human rights to fair trial and freedom from arbitrary detention.",10-10-2011
GANJI Mostafa Barzegar,male,"General Director of Inspection Supervision and Performance Evaluation of Courts since June 2020. Former Prosecutor General of Qom (2008-2017) and former Head of the Directorate-General for prisons. He was responsible for the arbitrary detention and maltreatment of dozens of offenders in Qom. He was complicit in a grave violation of the right to due process, contributing to the excessive and increasing use of the death penalty and a sharp increase in executions in 2009/2010.",10-10-2011
HABIBI Mohammad Reza,male,"Chief Justice of Isfahan. Former Attorney General of Isfahan. Former Head of the Ministry of Justice office in Yazd. Former Deputy Prosecutor of Isfahan. Complicit in proceedings denying defendants a fair trial – such as Abdollah Fathi, executed in May 2011 after his right to be heard and mental health issues were ignored by Habibi during his trial in March 2010. He was, therefore, complicit in a grave violation of the right to due process, contributing to a sharp increase in executions in 2011.",10-10-2011
JAVANI Yadollah,male,"IRGC deputy commander for political affairs. Has made numerous attempts to suppress free speech and free discourse through his public statements supporting the arrest and punishment of protesters and dissenters. One of the first high-ranking officials to demand in 2009 the arrest of Moussavi, Karroubi and Khatami. Has supported the use of techniques that breach rights to a fair trial, including public confessions, and he has released the contents of interrogations before trial. Evidence also indicates that he has condoned the use of violence against protesters and as an integral member of the IRGC he is highly likely to have been aware of the use of harsh interrogation techniques to force confessions.",10-10-2011
JAZAYERI Massoud,male,"Cultural advisor to the Joint Chief of Staff of Iran’s Armed Forces since April 2018. Within the joint military staff of Iran’s Armed Forces, Brigadier-General Massoud Jazayeri was the Deputy Chief of Staff for cultural and media affairs (a.k.a. State Defence Publicity HQ). He actively collaborated in the repression of 2009 protests as Deputy Chief of Staff. He warned in a Kayhan interview that many protesters inside and outside Iran had been identified and would be dealt with at the right time.; He has openly called for the suppression of foreign mass media outlets and the Iranian opposition. In 2010, he asked the government to pass tougher laws against Iranians who cooperate with foreign media sources.",10-10-2011
JOKAR Mohammad Saleh,male,"Member of Parliament for the province of Yazd and Chairman of the Internal Affairs Commission and Parliamentary Councils. General of the Islamic Revolutionary Guard Corps (IRGC) and former Deputy for Parliamentary Affairs of the IRGC. From 2011 to 2016, Member of Parliament for the province of Yazd and Member of the Parliamentary Committee for National Security and Foreign Policy. Former Commander of Student Basij Forces. In that role, he was actively involved in suppressing protests and indoctrinating children and young people with a view to continuing suppression of free speech and dissent. As a Member of the Parliamentary Committee for National Security and Foreign Policy, he publicly supported the suppression of opposition to the government and its repressive policies. After the death of Mahsa Amini in 2022, he played a central role in proposing amendments to the parliamentary election law designed to empower hardliners in parliamentary elections and shut down the demands of protestors.",10-10-2011
"KAMALIAN Behrouz (a.k.a. Hackers Brain, Behrooz_Ice)",male,"Head of the ‘Ashiyaneh’ cyber group linked with the Iranian regime. The ‘Ashiyaneh’ Digital Security, founded by Behrouz Kamalian, is responsible for intensive cyber attacks both on domestic opponents and reformists and foreign institutions. Kamalian’s ‘Ashiyaneh’ organisation’s work has assisted the regime’s crackdown against the opposition, which has involved numerous serious human rights violations in 2009. Both Kamalian and the ‘Ashiyaneh’ cyber group have continued their activities until at least December 2021.",10-10-2011
"KHALILOLLAHI Moussa (a.k.a. KHALILOLLAHI Mousa, ELAHI Mousa Khalil)",male,Chief of Justice of East Azerbaijan province. Former prosecutor of Tabriz from 2010 to 2019. He was involved in Sakineh Mohammadi-Ashtiani’s case and is complicit in grave violations of the right to due process.,10-10-2011
MAHSOULI Sadeq (a.k.a. MAHSULI Sadeq),male,"Deputy Secretary-General of the Paydari Front (Front of Islamic Stability). Former Advisor to Former President Mahmoud Ahmadinejad, former member of the Expediency Council and former Deputy Chief of the Perseverance Front. Minister of Welfare and Social Security between 2009 and 2011. Minister of the Interior until August 2009. As Minister of the Interior, Mahsouli had authority over all police forces, interior ministry security agents, and plain-clothes agents. The forces under his direction were responsible for attacks on the dormitories of Tehran University on 14 June 2009 and the torture of students in the basement of the Ministry (the notorious basement level 4). Other protestors were severely abused at the Kahrizak Detention Centre, which was operated by police under Mahsouli’s control.",10-10-2011
MALEKI Mojtaba,male,"Deputy head of the Ministry of Justice in the Khorasan Razavi province. Former prosecutor of Kermanshah. Has played a role in the high number of death sentences being passed in Iran, including prosecuting the cases of seven prisoners convicted of drug trafficking who were hanged on the same day on 3 January 2010 in Kermanshah’s central prison.",10-10-2011
OMIDI Mehrdad (aka: Reza; OMIDI Reza),male,"Head of section VI of the police, investigation department. Former Head of the Intelligence Services within the Iranian Police. Former Head of the Computer Crimes Unit of the Iranian Police. He was responsible for thousands of investigations and indictments of reformists and political opponents using the internet. He was thus responsible for grave human rights violations in the repression of persons who speak out in defence of their legitimate rights, including freedom of expression during and after the 2009 Green Movement.",10-10-2011
SALARKIA Mahmoud,male,"Mahmoud Salarkia is currently working as a lawyer and continues to suppress individual rights of the Iranian citizens in defence of the regime’s repressive policies. He figures on the list of lawyers competent under Article 48 of the Iranian criminal procedure code, on the basis of which the defendants of some political and security crimes are denied the choice of a lawyer during the interrogation and investigation stages by the prosecutor’s office. Former Head of the Petrol and Transport Commission of the City of Tehran. Deputy to the Prosecutor-General of Tehran for Prison Affairs during the crackdown of 2009.; In that position, he was directly responsible for many of the arrest warrants against innocent, peaceful protesters and activists. Many reports from human rights defenders show that virtually all those arrested were, on Salarkia’s instruction, held incommunicado without access to their lawyer or families, and without charge, for varying lengths of time, often in conditions amounting to enforced disappearance. Often the families of those arrested were not notified of the arrest.",10-10-2011
KHODAEI SOURI Hojatollah,male,"Member of the National Security and Foreign policy Committee. Parliamentary deputy for Lorestan Province. Member of the Parliamentary Commission for Foreign and Security Policy. Head of Evin prison until 2012. Torture was a common practice in Evin prison while Souri was its head. In Ward 209, many activists were held for their peaceful activities in opposition to the ruling government.",10-10-2011
TALA Hossein (a.k.a. TALA Hosseyn),male,"Mayor of Eslamshahr until 2020. Former Iranian MP. Former Governor-General (‘Farmandar’) of Tehran Province until September 2010, he was responsible for the intervention of police forces and therefore for the repression of demonstrations. He received a prize in December 2010 for his role in the post-election repression.",10-10-2011
TAMADDON Morteza (a.k.a. TAMADON Morteza),male,"Former Head of Tehran provincial Public Security Council. Former IRGC Governor-General of Tehran Province. In his capacity as Governor and Head of Tehran provincial Public Security Council, he bore overall responsibility for all repressive activities undertaken by the IRGC in Tehran Province, including cracking down on political protests since June 2009. Currently board member at Khajeh Nasireddin Tusi University of Technology.",10-10-2011
ZEBHI Hossein,male,"First Deputy Advisor to the Judiciary and Judge of the Supreme Court (head of Branch 41 of the Supreme Court, dealing in particular with security offences and drugs). Deputy to the Prosecutor-General of Iran (2007-2015). In this role, he was responsible for judicial cases brought after the post-election protests in 2009, which were conducted in contravention of human rights. Also in this role, he has condoned excessive punishments for drug offences.",10-10-2011
BAHRAMI Mohammad-Kazem,male,Head of the administrative justice court until April 2021. He was complicit in the repression of peaceful demonstrators in 2009 as head of the judiciary branch of the armed forces.,10-10-2011
"HAJMOHAM-MADI Aziz (a.k.a. Aziz Hajmohammadi, Noorollah Azizmohammadi)",male,"Judge at branch 71 of the Tehran Provincial Criminal Court. Working for the judiciary since 1971, he has been involved in several trials of demonstrators, inter alia, that of Abdol-Reza Ghanbari, a teacher arrested in January 2010 and sentenced to death for his political activities.",10-10-2011
BAGHERI Mohammad-Bagher,male,"In 2019, Mohammad-Bagher Bagheri was appointed Deputy Head of the Judiciary for International Affairs and Secretary of the Human Rights Staff replacing Mohammad Javad Larijani in this position by a decree of Ebrahim Raisi. He was judge at the Supreme court between December 2015 and 2019. Former vice-chairman of the judiciary administration of South Khorasan province, in charge of crime prevention. In addition to his acknowledging, in June 2011, 140 executions for capital offences between March 2010 and March 2011, about 100 other executions are reported to have taken place in the same period and in the same province of South Khorasan without either the families or the lawyers being notified. He was, therefore, complicit in a grave violation of the right to due process, contributing to a high number of death sentences.",10-10-2011
BAKHTIARI Seyyed Morteza,male,"President of the Imam Khomeini Relief Foundation (since July 2019). Former deputy custodian of Imam Reza shrine. Former Official of the Special Clerical Tribunal. Former Minister of Justice from 2009 to 2013. During his time as Minister of Justice, prison conditions within Iran fell well below accepted international standards, and there was widespread mistreatment of prisoners. In addition, he played a key role in threatening and harassing the Iranian diaspora by announcing the establishment of a special court to deal specifically with Iranians who live outside the country. He also oversaw a sharp increase in the number of executions in Iran, including secret executions not announced by the government, and executions for drug-related offences.",10-10-2011
"HOSSEINI Dr Seyyed Mohammad (a.k.a. HOSSEYNI Dr Seyyed Mohammad; Seyed, Sayyed and Sayyid)",male,"Vice-president for parliamentary affairs under President Raisi since August 2021. Former advisor to President Mahmoud Ahmadinejad and spokesperson for YEKTA, a hard-line political faction. Minister of Culture and Islamic Guidance (2009-2013). Former Deputy Director of Islamic Republic of Iran Broadcasting (IRIB). Former advisor to the Director of Islamic Culture and Relations Organisation (ICRO). Ex-IRGC, he was complicit in the repression of journalists.",10-10-2011
MOSLEHI Heydar (Aka: MOSLEHI Heidar; MOSLEHI Haidar),male,"Representative of the Ideological-Political Bureau of the Commander in Chief of Iran’s Armed Forces (since 2018). Former advisor of Supreme Jurisprudence in the IRGC. Head of the organisation for publications on the role of the clergy at war. Former Minister of Intelligence (2009-2013). Under his leadership, the Ministry of Intelligence continued the practices of widespread arbitrary detention and persecution of protesters and dissidents. The Ministry of Intelligence runs Ward 209 of Evin Prison, where many activists have been held on account of their peaceful activities in opposition to the government in power. Interrogators from the Ministry of Intelligence have subjected prisoners in Ward 209 to beatings and mental and sexual abuse.",10-10-2011
ZARGHAMI Ezzatollah,male,"Minister of Culture, Crafts and Tourism since 25 August 2021. Member of the Supreme Cyberspace Council and Cultural Revolution Council since 2014. Former Head of Islamic Republic of Iran Broadcasting (IRIB) until November 2014. Under his tenure at IRIB, He was responsible for all programming decisions. IRIB has broadcast forced confessions of detainees and a series of ‘show trials’ in August 2009 and December 2011. These constitute a clear violation of international provisions on fair trial and the right to due process.",23-03-2012
TAGHIPOUR Reza,male,"Member of the 11th Iranian parliament (Tehran constituency). Member of the Supreme Cyberspace Council. Former Member of the City Council of Teheran. Former Minister for Information and Communications (2009-2012).; As Minister for Information, he was one of the top officials in charge of censorship and control of internet activities and also all types of communications (in particular mobile phones). During interrogations of political detainees, the interrogators make use of the detainees’ personal data, mail and communications. On several occasions following the 2009 presidential election and during street demonstrations, mobile lines and text messaging were blocked, satellite TV channels were jammed and the internet locally suspended or at least slowed down.",23-03-2012
KAZEMI Toraj,male,"Chief of the Greater Tehran division of the EU-designated Cyber Police until June 2020. In this capacity, he announced a campaign for the recruitment of government hackers in order to achieve better control of information on the internet and attack ‘dangerous’ sites.",23-03-2012
LARIJANI Sadeq,male,"Head of the Expediency Council since 29 December 2018. Former member of the Guardian Council (until September 2021). Former Head of the Judiciary (2009-2019). The Head of the Judiciary is required to consent to and sign off every qisas (retribution), hodoud (crimes against God) and ta’zirat (crimes against the state) punishment. This includes sentences carrying the death penalty, floggings and amputations. In this regard, he has personally signed off numerous death penalty sentences, contravening international standards, including stoning, executions by suspension strangulation, execution of juveniles, and public executions such as those where prisoners have been hanged from bridges in front of crowds of thousands. Therefore, he has contributed to a high number of executions. He has also permitted corporal punishment sentences such as amputations and the dripping of acid into the eyes of the convicted. Since Sadeq Larijani took office, arbitrary arrests of political prisoners, human rights defenders and minorities have increased markedly. Sadeq Larijani also bears responsibility for systemic failures in the Iranian judicial process with respect to the right to a fair trial.",23-03-2012
MIRHEJAZI Ali Ashgar,male,"Intelligence advisor to the Supreme Leader. Part of the Supreme Leader’s inner circle, one of those responsible for planning the suppression of protests, which has been implemented since 2009, and associated with those responsible for supressing the protests.; He was also responsible for planning the suppression of public unrest in December 2017/2018 and November 2019.",23-03-2012
SAEEDI Ali,male,"Head of the Supreme Leader’s political ideology bureau. Former representative of the Supreme Leader for the Pasdaran (1995-2020) after spending his whole career within the institution of the military, and specifically in the Pasdaran intelligence service. This official role made him the key figure in the transmission of orders emanating from the Office of the Supreme Leader to the Pasdaran’s repression apparatus.",23-03-2012
RAMIN Mohammad-Ali,male,"Secretary-general of the World Holocaust Foundation, established at the International Conference to Review the Global Vision of the Holocaust in 2006, which Ramin was responsible for organising on behalf of the Iranian Government. Main figure responsible for censorship as Vice-Minister in charge of the Press up to December 2013, being directly responsible for the closure of many reforming newspapers (Etemad, Etemad-e Melli, Shargh, etc.), closure of the Independent Press Syndicate and the intimidation or arrest of journalists.",23-03-2012
MORTAZAVI Seyyed Solat,male,"Since 19 October 2022 (acting) Minister of Cooperatives, Labour and Social Welfare. From September 2021 until October 2022, Vice-President for Executive Affairs of Iran and Head of the Presidential Office. Head of the real estate branch of the Mostazafan Foundation, which was directly run by Supreme Leader Khamenei from 16 September 2019 until September 2021. Until November 2019, Director of the Tehran branch of the Foundation Astan Qods Razavi. Former mayor of the second largest city of Iran, Mashhad, where public executions are regularly carried out. Former Deputy Interior Minister for Political Affairs, appointed in 2009. In that capacity, he was responsible for directing the repression of persons who spoke up in defence of their legitimate rights, including freedom of expression. Later appointed as Head of the Iranian Election Committee for the parliamentary elections in 2012 and for the presidential elections in 2013.",23-03-2012
FARHADI Ali,male,"Deputy Head of Inspectorate of Legal Affairs and Public Inspection of the Ministry of Justice of Tehran. Former prosecutor of Karaj. Responsible for grave violations of human rights, including prosecuting trials in which the death penalty was handed down. There were a high number of executions in Karaj region during his time as prosecutor.",23-03-2012
REZVANMA-NESH Ali,male,"Deputy prosecutor in the province of Karaj, region of Alborz in the period 2010-2016. Responsible for grave violations of human rights, including involvement in the execution of a juvenile.",23-03-2012
RAMEZANI Gholamhossein,male,"Since 2011 Chief of the Intelligence of the Ministry of Defence; from November 2009 to March 2011: Commander of Intelligence of the Pasdaran; from March 2008 to November 2009: Deputy Commander of Intelligence of the Pasdaran; from April 2006 to March 2008: Head of Protection and Intelligence of the Pasdaran. Involved in the suppression of freedom of expression, including by being associated with those responsible for the arrests of bloggers/journalists in 2004, and reported to have had a role in the suppression of the post-election protests in 2009.",23-03-2012
SADEGHI Mohamed,male,Colonel and Deputy of IRGC technical and cyber intelligence and in charge of the centre of analysis and fight against organised crime within the Pasdaran. Responsible for the arrests and torture of bloggers/journalists.,23-03-2012
