Name,Gender,Reason,Activity_based,Profit_based,Family_member_sanctions,Dates,Doc_title,Doc_number,Doc_url,Case_Study,Nationality
"Abderrahim AL-KANI (a.k.a. Abdul-Rahim AL-KANI, Abd-al-Rahim AL-KANI, Abdel Rahim KHALIFA, Abdel Rahim AL-SHAQAQI)",male,"Abderrahim Al-Kani is a key member of the Kaniyat Militia and brother of the Head of the Kaniyat Militia, Mohammed Khalifa Al-Khani (deceased in July 2021). The Kaniyat Militia exercised control of the Libyan town of Tarhuna between 2015 and June 2020.; Abderrahim Al-Kani is in charge of internal security for the Kaniyat Militia. In that capacity, he is responsible for serious human rights abuses in Libya, in particular extrajudicial killings and enforced disappearances of persons between 2015 and June 2020 in Tarhuna. Abderrahim Al-Kani and the Kaniyat Militia fled Tarhuna in early June 2020 to eastern Libya. Since then, several mass graves attributed to the Kaniyat Militia have been discovered in Tarhuna.",,,,22-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Libyan
Aiub Vakhaevich KATAEV (a.k.a. Ayubkhan Vakhaevich KATAEV),male,"Head of Department of the Ministry of Internal Affairs of the Russian Federation in the city of Argun in the Chechen Republic until 2018.; In his capacity as Head of Department of the Ministry of Internal Affairs of the Russian Federation in Argun, Aiub Kataev oversaw the activities of local state security and police agencies. In this position, he personally oversaw widespread and systematic persecutions in Chechnya, which began in 2017. The repressions are directed against lesbian, gay, bisexual, transgender and intersex (LGBTI) persons, those presumed to belong to LGBTI groups, and other individuals suspected of being opponents of the Head of the Chechen Republic, Ramzan Kadyrov. Aiub Kataev and forces formerly under his command are responsible for serious human rights violations in Russia, in particular torture and other cruel, inhuman or degrading treatment, as well as arbitrary arrests and detentions and extrajudicial or arbitrary executions and killings.; According to numerous witnesses, Aiub Kataev personally supervised and took part in torturing detainees.",,,,22-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Abuzaid (Abuzayed) Dzhandarovich VISMURADOV,male,"Former Commander of the Special Rapid-Response Unit (SOBR) Team ‘Terek’. Since 23 March 2020, Deputy Prime Minister of the Chechen Republic. Unofficial bodyguard of the Head of the Chechen Republic Ramzan Kadyrov.; Abuzaid Vismuradov was the Commander of the SOBR detachment ‘Terek’ from March 2012 until March 2020. In this position, he personally oversaw widespread and systematic persecutions in Chechnya, which began in 2017. The repressions are directed against lesbian, gay, bisexual, transgender and intersex (LGBTI) persons, those presumed to belong to LGBTI groups and other individuals suspected of being opponents of the Head of the Chechen Republic Ramzan Kadyrov. Abuzaid Vismuradov and the ‘Terek’ unit previously under his command are responsible for serious human rights violations in Russia, in particular torture and other cruel, inhuman or degrading treatment, as well as arbitrary arrests and detentions and extrajudicial and arbitrary killings and executions.; According to numerous witnesses, Abuzaid Vismuradov personally supervised and took part in torturing detainees. He is a close associate of Ramzan Kadyrov, the Head of the Chechen Republic, who has been conducting a campaign of repression against his political opponents for many years.",,,,22-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Gabriel Moses LOKUJO,male,"Major General of the South Sudan People’s Defense Forces (SSPDF).; Gabriel Moses Lokujo is responsible for serious human rights violation in South Sudan, in particular extrajudicial, summary or arbitrary executions and killings.; In May 2020, three officers of the Sudan People’s Liberation Army in Opposition (SPLA-IO) were abducted and executed on the orders of Major General Lokujo. Major General Lokujo defected in September 2020 from the SPLA-IO to the SSPDF and is responsible for the ensuing clashes in and around the Moroto Training Center in southern Central Equatoria. As a consequence, several deaths and injuries were reported on both sides during the last quarter of 2020, and civilians were also displaced, especially in the Kajo-Keji area of Central Equatoria State. Major General Lokujo’s forces remained in the area where several further clashes have been reported and the safety and security of the civilian communities continue to be in jeopardy.",,,,22-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,South Sudanese
Stanislav Evgenievitch DYCHKO,male,"Stanislav Dychko, a former employee of the Stavropol police, is a mercenary of the Wagner Group.; Alongside three other mercenaries of the Wagner Group, he took part in the torturing to death of a Syrian deserter in June 2017 in the governorate of Homs, Syria.; He is therefore responsible for serious human rights abuses in Syria.",,,,13-12-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Valery (Valeriy) Nikolaevich ZAKHAROV,male,"Valery Zakharov, a former member of the Federal Security Service of the Russian Federation (FSB), is the former security counsellor to the President of the Central African Republic (CAR). He is a key figure in the Wagner Group’s command structure and maintains close links with the Russian authorities.; Given his former influential position in CAR and his leading role in the Wagner Group, Valery Zakharov is responsible for serious human rights abuses committed by the Wagner Group in CAR, including extrajudicial, summary or arbitrary executions and killings.; This includes the murder of three Russian journalists in 2018 whose security was the responsibility of Valery Zakharov.",,,,13-12-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Maxim SHUGALEY,male,"Maxim Shugaley is head of the Foundation for the Defence of National Values (FDNV), an entity associated with the Wagner Group. The FDNV operates as the public relations arm of the Wagner Group and Maxim Shugaley’s role in FDNV involves steering pro-Wagner Group propaganda and disinformation campaigns, including to enhance the reputation of the Wagner Group and support its deployment, as well as covertly interfering on behalf of the Wagner Group in the various countries that he is active in.; The Wagner Group is listed for serious human rights abuses, including torture and extrajudicial, summary or arbitrary executions and killings, in several countries, including Libya, Mali and the Central African Republic.; Maxim Shugaley is associated with the Wagner Group and is responsible for supporting and encouraging the acts of the Wagner Group through pro-Wagner Group propaganda and disinformation.",,,,25-02-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Aleksandr Grigorievitch MALOLETKO,unknown,"Aleksandr Maloletko was a close collaborator of Yevgeny Prigozhin. His action as a “defender of the Motherland” and as the Head of the “Veteran’s Interests Defenders League” was publicly hailed by Yevgeny Prigozhin. He has been working as an instructor for the Wagner Group in the Central African Republic (CAR). He is associated with the Wagner Group, listed for serious human rights abuses in several countries, including in CAR, and is responsible for supporting the acts of the Wagner Group.",,,,25-02-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,unknown
Konstantin Alexandrovich PIKALOV,male,"Konstantin Pikalov, code name ‘Mazaï’ (Mazay), is one of the leaders of the Wagner Group and is responsible for the operational activities of the Wagner Group in Africa, notably in the Central African Republic (CAR). He is accused of being the instigator of the murder of three Russian journalists in July 2018. Since April 2023, he is also at the head of a new paramilitary group (Convoy) created in November 2022 to take action in Russia’s war of aggression against Ukraine.; The Wagner Group is listed for serious human rights abuses, including torture and extrajudicial, summary or arbitrary executions and killings, in several countries, including CAR.; In his leadership position within the Wagner Group, Konstantin Pikalov is responsible for the serious human rights abuses committed by the Wagner Group in CAR.",,,,25-02-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Dimitri SYTII,male,"Dimitri Sytii has a leading role within the Wagner Group in the Central African Republic (CAR), and he had close links to Yevgeny Prigozhin. He is in charge of conducting the Wagner Group’s operations and influence policy in CAR. He is the head of the local branch of the Russian House, the cultural arm of the Russian foreign ministry.; The Wagner Group is listed for serious human rights abuses, which include torture and extrajudicial, summary or arbitrary executions and killings, in several countries, including CAR.; Given his influential position in CAR and his leading role in the Wagner Group, he is responsible for serious human rights abuses committed by the Wagner Group in CAR.",,,,25-02-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Mikhail Sergeyevich POTEPKIN,male,"Mikhail Potepkin is director of Meroe Gold, a cover entity for the Wagner Group’s operations in Sudan, as well as being involved in M-Invest, Meroe’s parent company. He has a leading role within the Wagner Group in Sudan, and he had close links to Yevgeny Prigozhin. By being affiliated with the Sudanese military, the Wagner Group secured the exploiting and exporting of Sudanese gold to Russia. Potepkin is associated with the Wagner Group, listed for serious human rights abuses, which include torture and extrajudicial, summary or arbitrary executions and killings, in several countries, including Sudan. Through his activities, he also provides support for such abuses committed in Sudan.",,,,25-02-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Alexander Alexandrovich IVANOV,male,"Alexander Ivanov is the spokesperson for the Wagner Group in the Central African Republic (CAR). He is also the head of the Russian ‘Officers Union for International Security’, also called the Officers Community for International Security (COSI), a Wagner front company which sends Russian military instructors to CAR. Those instructors are Wagner Group mercenaries.; The Wagner Group is listed for serious human rights abuses, including torture and extrajudicial, summary or arbitrary executions and killings, in several countries, including CAR.; In his position as official representative of Russian military instructors, Alexander Ivanov is involved in the serious human rights abuses committed by the Wagner Group in CAR.",,,,25-02-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Vitalii Viktorovitch PERFILEV,male,"Vitalii Perfilev was the security advisor to the President of the Central African Republic (CAR) until November 2023, and a key figure within the Wagner Group in CAR.; The Wagner Group is listed for serious human rights abuses, which include torture and extrajudicial, summary or arbitrary executions and killings, in several countries, including CAR.; Given his former influential position during the period when the human rights abuses were committed in CAR and his leading role in the Wagner Group, Vitalii Perfilev is responsible for serious human rights abuses committed by the Wagner Group in CAR.",,,,25-02-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Andrei Sergeevich MANDEL,male,"Andrei Mandel is head of M-Invest, a cover entity for the Wagner Group’s operations in Sudan, as well as being involved in its subsidiary Meroe Gold. He has a leading role within the Wagner Group in Sudan, and had close links with Yevgeny Prigozhin. By being closely affiliated with the Sudanese military, the Wagner Group secured the exploiting and exporting of Sudanese gold to Russia. Andrei Mandel is associated with the Wagner Group, listed for serious human rights abuses, which include torture and extrajudicial, summary or arbitrary executions and killings, in several countries, including Sudan. Through his activities, Andrei Mandel also provides support for such abuses committed in Sudan.",,,,25-02-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,unknown
Neda Mohammad NADEEM,male,"Neda Mohammed Nadeem has been the acting Taliban Minister for Higher Education since 22 October 2022.; Since he took up his position, the Taliban have published decrees banning women from higher education throughout the country. These decrees deprive women of their right to education as well as their equal access to education, violating the principle of equal treatment between men and women.; In his capacity as acting Taliban Minister for Higher Education, Neda Mohammed Nadeem is therefore responsible for serious human rights violations in Afghanistan, in particular the widespread violation of women’s right to education and the right to equal treatment between men and women in the field of education.",,,,07-03-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Afghan
Sheikh Muhammad Khalid HANAFI,male,"Sheikh Muhammad Khalid Hanafi is the acting Taliban Minister for the propagation of virtue and the prevention of vice, replacing the Minister for women’s affairs.; Since he took up his position, the Taliban have published decrees restricting women’s and girl’s freedom and dignity throughout the country, curbing their freedom of speech and expression, and inflicting harsh punishments and violence on those who do not respect the Taliban’s edicts.; In particular, during his time in office, hijab decrees were published as well as gender-segregated timetables for the use of public spaces.; In his capacity as acting Taliban Minister for the propagation of virtue and the prevention of vice, Sheikh Muhammad Khalid Hanafi is responsible for serious human rights violations in Afghanistan, in particular the widespread violation of women’s rights, such as their freedom of expression, as well as the right to equal treatment between men and women.",,,,07-03-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Afghan
Alexander Georgievich FEDORINOV,male,"Lieutenant Colonel Alexander Fedorinov is a commanding officer of Moscow Police Station.; In his capacity as acting head of the police station in March 2022, he authorised the arbitrary arrest and detention, as well as the subsequent torture, of female anti-war protestors.; Alexander Fedorinov is therefore responsible for serious human rights violations in Russia, in particular torture and other cruel, inhuman or degrading treatment or punishment, arbitrary arrests or detentions as well as systematic sexual and gender-based violence.",,,,07-03-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Ivan RYABOV,male,"Ivan Ryabov is a police officer of Moscow Police Station.; On the orders of Lieutenant Colonel Alexander Georgievich Fedorinov, he arbitrarily detained and tortured female anti-war protestors in March 2022. Victims report that he beat them, suffocated them with plastic bags and abused them physically and verbally for six hours.; Ivan Ryabov is therefore responsible for serious human rights violations in Russia, in particular torture and other cruel, inhuman or degrading treatment or punishment, and arbitrary arrests or detentions.",,,,07-03-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Nikolay Anatolevich KUZNETSOV,male,"Major-General Nikolay Anatolevich Kuznetsov is a member of the armed forces of the Russian Federation and commander of the Dzerzhinsky division special forces unit of Rosgvardia (Federal Service of National Guard Troops of the Russian Federation).; Kuznetsov’s unit was part of Russia’s illegal invasion of Ukraine and members of his unit systematically participated in acts of sexual violence and rape in Ukraine in March/April 2022.; The scale and severity of acts of sexual and gender-based violence taking place in Russian-occupied areas of Ukraine speak to ‘planning on a more systematic level’ and Russian commanders being aware of sexual violence by military personnel in Ukraine and, in some cases, having ‘encouraged or even ordered it’.; In his capacity as commander of the unit, Kuznetsov is responsible for serious human rights violations in Ukraine, including systematic sexual and gender-based violence.",,,,07-03-2023,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
