Name,Gender,Reason,Direct,Indirect,Activity,Profit,Family_status,Dates,Doc_title,Doc_number,Doc_url,Case_study
IRGC Brigadier-General Ali SHAMSHIRI,unknown,Member of the IRGC. Advisor to the director of the Defence Science and Education Research Institute. Has held senior roles in MODAFL.,,,,,,23-06-2008,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
IRGC Brigadier-General Ahmad VAHIDI,unknown,"Since 25 August 2021, Minister of Interior. Former President of the Supreme National Defence University and former Minister of MODAFL.",,,,,,23-06-2008,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
Abolghassem Mozaffari SHAMS,unknown,Former head of Khatam al-Anbiya Construction Headquarters.,,,,,,01-12-2011,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
Ali Ashraf NOURI,unknown,"Head of the Basij Islamic Revolution Art Educational and Research Complex. Formerly IRGC Deputy Commander, IRGC Political Bureau Chief.",,,,,,23-01-2012,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
Hojatoleslam Ali SAIDI (a.k.a. Hojjat- al-Eslam Ali Saidi or Saeedi),unknown,"Since March 2017, head of the ideological and political bureau of the Supreme Leader in his role as Commander-in-chief. Previously representative of the Supreme Leader to the IRGC.",,,,,,23-01-2012,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
IRGC Brigadier-General Amir Ali Haji ZADEH (a.k.a. Amir Ali HAJIZADEH),unknown,IRGC Aerospace Force Commander.,,,,,,23-01-2012,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
Ali Akbar TABATABAEI,male,"Ali Akbar Tabatabaei is the former Commander of the IRGC-QF Africa Corps. As the commander of all IRGC-QF operations in Africa, Tabatabaei’s duties entail overseeing IRGC-QF weapons transfers to Africa. As such he is a member of the IRGC.",,,,,,unknown,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
Azim AGHAJANI,male,Azim Aghajani is a member of the Islamic Revolutionary Guard Corps (IRGC).,,,,,,unknown,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
Morteza BAHMANYAR,male,"Morteza Bahmanyar is Chief Financial Officer of the Bonyad Taavon Sepah, also known as the the IRGC Cooperative Foundation. Bonyad Taavon Sepah was formed by the Commanders of the IRGC to structure the IRGC’s investments. It is controlled by the IRGC and Kauthar Insurance, also known as Kausar, Kothar or Kosar Insurance. Kauthar Insurance is a subsidiary controlled by the IRGC. Bahmanyar is currently the head of Kauthar Insurance. Therefore, Bahmanyar is directly associated with and provides insurance to the IRGC.",,,,,,unknown,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
Mohammad Mehdi Nejad NOURI,male,"Mohammad Mehdi Nejad Nouri is Brigadier General in the Islamic Revolutionary Guard Corps (IRGC) and Vice President of Science, Research and Technology of the General Staff of the Armed Forces.; Therefore, he is a member of the IRGC.",,,,,,unknown,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
Yahya Rahim SAFAVI,male,Yahya Rahim Safavi is a Major General of the Islamic Revolutionary Guard Corps (IRGC) and Senior Adviser to the Supreme Leader for Military Affairs.,,,,,,unknown,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
Mohammad Reza ZAHEDI,male,Mohammad Reza Zahedi is a high-ranking official and Ground Forces Commander of the Islamic Revolutionary Guard Corps (IRGC). Mohammad Reza Zahedi is therefore a member of the IRGC.,,,,,,unknown,COUNCIL_REGULATION_EU_No_267_2012_23_March_2012,02012R0267-20240913,http://data.europa.eu/eli/reg/2012/267/2024-09-13,Iran
